role,tier,base_salary_p25,base_salary_p50,base_salary_p75,annual_bonus_p25,annual_bonus_p50,annual_bonus_p75,annual_equity_p25,annual_equity_p50,annual_equity_p75,match_401k_p50,total_comp_p25,total_comp_p50,total_comp_p75,equity_pct_of_total,source
Senior SWE (L5),FAANG,200000,222000,245000,25000,35000,45000,113000,160000,220000,13300,351300,430300,523300,37,"Levels.fyi: Google L5 $223K/$159K/$38K=$420K; Meta E5 $222K/$212K/$29K=$462K; Amazon L6 $206K/$174K/$5K=$385K; Apple ICT4 $212K/$113K/$16K=$341K; Netflix L5 $548K all-cash"
Senior SWE (L5),Mid-tier tech,180000,210000,240000,15000,25000,40000,50000,90000,150000,12600,257600,337600,442600,27,"Levels.fyi mid-tier (Stripe, Airbnb, Uber) NYC; equity lower than FAANG but still significant"
Senior SWE (L5),Nonprofit/mission,170000,225000,280000,5000,15000,25000,0,0,0,13500,188500,253500,318500,0,"NYC nonprofit tech: no equity; base 10-20% above FAANG base to partially offset; Glassdoor NYC Senior SWE $171K-$266K"
Staff SWE (L6),FAANG,250000,272000,300000,40000,53000,70000,200000,254000,350000,16300,506300,595300,736300,43,"Levels.fyi: Google L6 $272K/$254K/$54K=$580K; Meta E6 $268K/$462K/$51K=$782K; Apple ICT5 $265K/$255K/$28K=$549K"
Staff SWE (L6),Mid-tier tech,220000,255000,290000,25000,40000,60000,100000,175000,280000,15300,360300,485300,645300,36,"Levels.fyi mid-tier staff; equity ~35-40% of total at growth-stage companies"
Staff SWE (L6),Nonprofit/mission,210000,270000,340000,10000,20000,35000,0,0,0,16200,236200,306200,391200,0,"Nonprofit staff eng: base premium to offset zero equity; rare role in nonprofits"
Senior ML/AI Engineer,FAANG,220000,250000,280000,30000,45000,60000,150000,250000,400000,15000,415000,560000,755000,45,"Levels.fyi: OpenAI L4 $281K/$397K=$678K; Google ML L5 ~$450K; Meta ML E5 ~$500K; ML premium ~10-15% over SWE"
Senior ML/AI Engineer,AI startup,230000,280000,350000,10000,25000,50000,200000,400000,700000,16800,456800,721800,1116800,55,"Levels.fyi: OpenAI L5 $353K/$967K=$1.39M; Anthropic senior ~$655K; AI startups pay heavy equity"
Senior ML/AI Engineer,Nonprofit/mission,200000,260000,330000,5000,15000,30000,0,0,0,15600,220600,290600,375600,0,"ML talent in nonprofit/policy: no equity; must compete on base+mission; Glassdoor NYC ML $173K-$310K"
VP Engineering / Eng Director,FAANG,300000,350000,400000,80000,120000,180000,400000,700000,1100000,21000,801000,1191000,1701000,59,"Levels.fyi: Google L7 $318K/$580K/$72K=$970K; L8 $381K/$843K/$135K=$1.36M; Meta E7 $327K/$1.08M/$76K=$1.49M"
VP Engineering / Eng Director,Mid-tier tech,260000,310000,370000,50000,80000,130000,150000,300000,550000,18600,478600,708600,1068600,42,"Levels.fyi director-level at mid-tier; equity 35-50% of total"
VP Engineering / Eng Director,Nonprofit/mission,230000,310000,400000,15000,30000,50000,0,0,0,18600,263600,358600,468600,0,"NYC nonprofit VP Eng: Glassdoor $202K avg; Goldman VP $411K; nonprofit range $230-400K base"
CTO (mid-stage startup),Startup,220000,300000,400000,25000,50000,100000,200000,500000,1500000,18000,463000,868000,2018000,58,"Levels.fyi CTO implied from senior IC + management premium; startup equity highly variable (0.5-2% founder shares)"
CTO (mid-stage startup),Nonprofit/mission,220000,300000,400000,10000,25000,50000,0,0,0,18000,248000,343000,468000,0,"Form 990 data: CAIS CTO-equiv ~$300K; Salary.com NYC CTO P25-P75 $282-341K; no equity at nonprofits"
CEO (nonprofit $10-50M),Nonprofit,200000,275000,375000,10000,25000,50000,0,0,0,16500,226500,316500,441500,0,"Form 990: Partnership on AI CEO $337K; CAIS $321K; EFF $332K; Candid 2025 STEM nonprofit median $200K"
CEO (nonprofit $10-50M),For-profit equivalent,250000,350000,500000,75000,150000,300000,300000,750000,2000000,21000,646000,1271000,2821000,59,"For-profit CEO at $10-50M revenue company; equity dominates; included for apples-to-apples comparison"
